104.238.161.103:443#JP [135.26ms 7.34Mbps]
104.238.150.161:443#JP [135.37ms 5.63Mbps]
104.238.149.30:443#JP [135.44ms 5.73Mbps]
104.238.148.149:443#JP [135.49ms 4.3Mbps]
104.192.92.190:443#SG [优选高速 137.3ms 13.15Mbps]
104.156.239.15:443#JP [138.75ms 3.96Mbps]
104.105.138.244:443#JP [139.79ms 2.94Mbps]
103.97.201.71:443#HK [139.85ms 4.29Mbps]
104.105.128.153:443#JP [139.86ms 6.05Mbps]
103.97.201.65:443#HK [139.89ms 4.84Mbps]
103.85.27.26:443#JP [140.48ms 5.66Mbps]
103.85.25.226:8443#JP [140.53ms 0.02Mbps]
103.76.85.210:443#JP [141.44ms 4.88Mbps]
103.75.118.144:2053#JP [141.67ms 4.07Mbps]
103.72.62.113:443#SG [优选高速 141.8ms 8.34Mbps]
103.53.80.84:443#JP [143.35ms 2.81Mbps]
103.53.80.24:443#JP [143.41ms 6.0Mbps]
103.53.80.239:443#JP [143.47ms 3.06Mbps]
103.47.186.75:443#JP [143.52ms 7.18Mbps]
103.47.186.135:443#JP [143.58ms 3.72Mbps]
103.39.78.14:8443#HK [143.91ms 3.33Mbps]
103.39.78.118:8443#HK [143.98ms 5.9Mbps]
103.39.78.112:8443#HK [144.03ms 3.12Mbps]
103.3.61.43:443#SG [优选高速 144.26ms 11.89Mbps]
103.27.186.119:443#JP [144.36ms 3.84Mbps]
103.253.42.37:8443#HK [144.41ms 5.04Mbps]
103.25.202.25:443#SG [144.75ms 7.54Mbps]
103.25.202.102:443#SG [优选高速 144.8ms 10.47Mbps]
103.244.90.20:8443#HK [144.93ms 4.16Mbps]
103.245.235.254:443#JP [144.94ms 2.3Mbps]
103.224.84.70:443#TH [146.0ms 0.77Mbps]
103.213.4.57:443#HK [146.06ms 6.27Mbps]
103.201.130.98:443#JP [146.17ms 2.94Mbps]
103.201.130.126:443#JP [146.24ms 1.47Mbps]
103.195.191.70:443#SG [146.45ms 0.0Mbps]
103.195.191.240:443#SG [146.51ms 0.37Mbps]
103.195.191.121:443#SG [146.56ms 4.19Mbps]
